Feature,Importance
ST_Slope,0.2516848238844301
ChestPain_ASY,0.12046252735231583
ExerciseAngina,0.09405358203100962
MaxHR,0.08362288606804735
Oldpeak,0.08104930982766728
Cholesterol,0.06253140271561623
Age,0.04660423972749155
RestingBP,0.03479268995419102
MaxHR_Category,0.033233734500306214
ChestPain_ATA,0.032899151227163415
Sex,0.032097074412427776
FastingBS,0.024643841979191183
Cholesterol_Category,0.02357487934182175
Oldpeak_Category,0.02288561569555247
ChestPain_NAP,0.014507586367213186
BP_Category,0.011450415574322298
ECG_LVH,0.007162380067201403
Age_Group,0.0069950457502111285
ChestPain_TA,0.005767078546048202
ECG_Normal,0.005614823899290233
ECG_ST,0.004366911078481775
